,LeafNodeName,FullPath,common,female,male
190,greater_palatine_l_a,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Greater_palatine_L_A,True,True,True
191,greater_palatine_r_a,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Greater_palatine_R_A,True,True,True
192,incisor_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Incisor_L,True,True,True
193,incisor_r,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Incisor_R,True,True,True
194,inferior_alveolar_l_a,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Inferior_alveolar_L_A,True,True,True
195,inferior_alveolar_r_a,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Inferior_alveolar_R_A,True,True,True
196,inferior_hypophyseal_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Inferior_hypophyseal_L,True,True,True
197,inferior_hypophyseal_r,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Inferior_hypophyseal_R,True,True,True
198,inferior_labial_l_a,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Inferior_labial_L_A,True,True,True
199,inferior_labial_r_a,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Inferior_labial_R_A,True,True,True
200,inferior_lateral_palpebral_l_a,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Inferior_lateral_palpebral_L_A,True,True,True
201,inferior_lateral_palpebral_r_a,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Inferior_lateral_palpebral_R_A,True,True,True
202,inferior_medial_palpebral_l_a,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Inferior_medial_palpebral_L_A,True,True,True
203,inferior_medial_palpebral_r_a,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Inferior_medial_palpebral_R_A,True,True,True
204,inferior_palpebral_arterial_arch_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Inferior_palpebral_arterial_arch_L,True,True,True
205,inferior_palpebral_arterial_arch_r,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Inferior_palpebral_arterial_arch_R,True,True,True
206,inferior_thyroid_l,2_20_mAnatomy/Artery_system/HeadABCDEFG_and_Neck/Inferior_thyroid_L,True,True,True
